Frame,Total,Compliant,No Vest,Compliance %,Idle Clusters
658,9,0,9,0.0,2
659,10,1,9,10.0,2
660,10,1,9,10.0,2
661,10,1,9,10.0,2
662,10,1,9,10.0,2
663,9,1,8,11.11,2
664,9,0,9,0.0,2
665,10,0,10,0.0,2
666,10,0,10,0.0,2
667,11,0,11,0.0,2
668,10,0,10,0.0,2
669,9,0,9,0.0,2
670,9,0,9,0.0,2
671,9,1,8,11.11,2
672,9,1,8,11.11,2
673,10,1,9,10.0,2
674,12,1,11,8.33,2
675,10,1,9,10.0,2
676,9,1,8,11.11,2
677,9,0,9,0.0,4
678,11,1,10,9.09,4
679,13,1,12,7.69,4
680,12,1,11,8.33,4
681,10,1,9,10.0,4
682,10,1,9,10.0,4
683,10,1,9,10.0,4
684,11,1,10,9.09,4
685,10,1,9,10.0,4
686,9,1,8,11.11,4
687,9,1,8,11.11,4
688,9,1,8,11.11,4
689,9,1,8,11.11,4
690,9,2,7,22.22,4
691,9,2,7,22.22,4
692,9,1,8,11.11,6
693,9,1,8,11.11,6
694,11,1,10,9.09,4
695,11,2,9,18.18,4
696,10,1,9,10.0,4
697,9,1,8,11.11,4
698,9,1,8,11.11,1
699,9,1,8,11.11,1
700,9,1,8,11.11,1
701,9,1,8,11.11,1
702,10,3,7,30.0,2
703,10,1,9,10.0,2
704,11,1,10,9.09,1
705,11,1,10,9.09,1
706,11,1,10,9.09,1
707,12,2,10,16.67,1
708,12,1,11,8.33,1
709,12,1,11,8.33,1
710,12,2,10,16.67,2
711,12,1,11,8.33,2
712,11,2,9,18.18,2
713,10,1,9,10.0,2
714,11,1,10,9.09,2
715,11,1,10,9.09,2
716,10,1,9,10.0,2
717,10,1,9,10.0,2
718,9,1,8,11.11,2
719,9,1,8,11.11,2
720,10,1,9,10.0,2
721,9,1,8,11.11,4
722,10,1,9,10.0,4
723,11,1,10,9.09,4
724,10,1,9,10.0,4
725,10,1,9,10.0,2
726,11,1,10,9.09,2
727,11,1,10,9.09,2
728,10,0,10,0.0,2
729,10,0,10,0.0,2
730,10,0,10,0.0,2
731,9,0,9,0.0,2
732,11,1,10,9.09,2
733,10,1,9,10.0,2
734,10,1,9,10.0,2
735,10,1,9,10.0,2
736,9,1,8,11.11,2
737,8,1,7,12.5,2
738,8,1,7,12.5,3
739,8,1,7,12.5,3
740,8,1,7,12.5,3
741,8,1,7,12.5,2
742,9,1,8,11.11,2
743,9,1,8,11.11,2
744,9,1,8,11.11,2
745,8,1,7,12.5,2
746,8,1,7,12.5,2
747,8,1,7,12.5,2
748,8,0,8,0.0,2
749,9,0,9,0.0,2
750,10,0,10,0.0,2
751,10,0,10,0.0,2
752,10,0,10,0.0,2
753,9,0,9,0.0,2
754,9,0,9,0.0,2
755,9,0,9,0.0,2
756,10,0,10,0.0,2
757,10,0,10,0.0,1
758,10,0,10,0.0,1
759,11,0,11,0.0,1
760,11,0,11,0.0,1
761,11,1,10,9.09,1
762,12,0,12,0.0,1
763,12,2,10,16.67,1
764,10,2,8,20.0,1
765,11,3,8,27.27,1
766,10,1,9,10.0,1
767,10,1,9,10.0,1
768,10,1,9,10.0,1
769,9,1,8,11.11,1
770,10,2,8,20.0,1
771,9,2,7,22.22,1
772,10,3,7,30.0,1
773,9,1,8,11.11,1
774,9,1,8,11.11,1
775,9,1,8,11.11,1
776,11,1,10,9.09,2
777,9,1,8,11.11,2
778,9,1,8,11.11,2
779,9,1,8,11.11,2
780,9,1,8,11.11,2
781,8,1,7,12.5,2
782,9,2,7,22.22,3
783,11,2,9,18.18,3
784,10,1,9,10.0,3
785,9,2,7,22.22,3
786,10,1,9,10.0,5
787,12,2,10,16.67,5
788,11,2,9,18.18,5
789,10,2,8,20.0,5
790,11,2,9,18.18,6
791,10,1,9,10.0,6
792,10,1,9,10.0,6
793,9,1,8,11.11,4
794,10,1,9,10.0,4
795,9,1,8,11.11,4
796,10,1,9,10.0,4
797,10,1,9,10.0,4
798,10,1,9,10.0,4
799,10,1,9,10.0,4
800,9,1,8,11.11,4
801,9,1,8,11.11,4
802,10,1,9,10.0,4
803,10,1,9,10.0,4
804,10,1,9,10.0,4
805,10,1,9,10.0,4
806,9,0,9,0.0,4
807,9,0,9,0.0,4
808,10,0,10,0.0,2
809,10,0,10,0.0,2
810,10,0,10,0.0,2
811,9,0,9,0.0,2
812,9,0,9,0.0,2
813,10,0,10,0.0,2
814,11,0,11,0.0,2
815,11,0,11,0.0,2
816,12,1,11,8.33,2
817,12,0,12,0.0,2
818,11,0,11,0.0,2
819,9,1,8,11.11,2
820,10,1,9,10.0,4
821,10,0,10,0.0,4
822,9,1,8,11.11,4
823,9,0,9,0.0,4
824,9,1,8,11.11,4
825,9,1,8,11.11,4
826,9,1,8,11.11,4
827,9,0,9,0.0,4
828,9,0,9,0.0,3
829,8,1,7,12.5,3
830,9,1,8,11.11,3
831,9,1,8,11.11,3
832,8,1,7,12.5,3
833,8,1,7,12.5,3
834,9,1,8,11.11,3
835,9,1,8,11.11,3
836,9,1,8,11.11,3
837,11,2,9,18.18,3
838,10,2,8,20.0,3
839,10,2,8,20.0,3
840,9,1,8,11.11,3
841,8,1,7,12.5,3
842,9,2,7,22.22,3
843,9,2,7,22.22,3
844,9,1,8,11.11,3
845,9,2,7,22.22,3
846,8,1,7,12.5,3
847,8,1,7,12.5,4
848,8,1,7,12.5,4
849,8,1,7,12.5,4
850,8,1,7,12.5,4
851,8,1,7,12.5,4
852,9,1,8,11.11,4
853,9,1,8,11.11,5
854,8,1,7,12.5,4
855,9,1,8,11.11,4
856,9,1,8,11.11,4
857,8,1,7,12.5,4
858,8,1,7,12.5,4
859,8,1,7,12.5,4
860,8,1,7,12.5,4
861,8,1,7,12.5,5
862,8,1,7,12.5,4
863,8,1,7,12.5,4
864,8,1,7,12.5,4
865,8,1,7,12.5,3
866,7,1,6,14.29,3
867,7,1,6,14.29,2
868,7,1,6,14.29,2
869,7,1,6,14.29,2
870,7,1,6,14.29,2
871,8,1,7,12.5,2
872,8,1,7,12.5,2
873,7,1,6,14.29,2
874,7,1,6,14.29,2
875,7,1,6,14.29,4
876,7,1,6,14.29,4
877,7,1,6,14.29,4
878,7,1,6,14.29,4
879,7,1,6,14.29,4
880,7,1,6,14.29,4
881,7,1,6,14.29,3
882,7,1,6,14.29,3
883,7,1,6,14.29,3
884,7,1,6,14.29,3
885,7,1,6,14.29,3
886,6,1,5,16.67,2
887,7,1,6,14.29,2
888,7,1,6,14.29,3
889,7,1,6,14.29,3
890,8,1,7,12.5,3
891,8,1,7,12.5,3
892,8,1,7,12.5,3
893,8,1,7,12.5,3
894,7,1,6,14.29,3
895,6,1,5,16.67,3
896,7,0,7,0.0,3
897,6,0,6,0.0,3
898,6,0,6,0.0,3
899,5,0,5,0.0,3
